,Unnamed: 0,id,keyword,location,text,target
3152,2507,3598,desolation,"Stockholm, Sweden",? This Weekend: Stockholm Sweden - Aug 8 at Copperfields http://t.co/6un7xC9Sve,1
34,3542,5064,famine,"Kyiv, Ukraine",#Russia 'food crematoria' provoke outrage in country w/soaring poverty +Soviet famine memory http://t.co/vymOuZjZRe http://t.co/eNRJh5Qkve,1
4014,7185,10295,weapon,?,FUCK NUCLEAR WEAPON,0
775,2330,3351,demolished,"Paterson, New Jersey ",Three Homes Demolished in Unrecognized Arab Village - International Middle East Media Center http://t.co/ik8m4Yi9T4,1
2556,6154,8780,siren,,The real question is why is the tornado siren going off in Dyersburg?,1
1478,159,229,airplane%20accident,,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/v4SMAESLK5,1
1363,2918,4197,drown,Inside your webcam. Stop that.,@kessily @mishacollins So we should send it all 2 him then? Drown him in it? I like the way u think! #AllTheKidneyBeansAndSorbet4Misha #YES,0
2612,707,1021,blazing,New York,Morgan Silver Dollar 1921 P CH Gem Bu PL Blazing MS++++++ Satin Rare Proof Like! - Full reÛ_ http://t.co/99MbyFl3Id http://t.co/4ddMTguZzS,0
2824,3249,4670,engulfed,Coventry,Do you feel engulfed with low self-image? Take the quiz: http://t.co/ykVsttvDWo http://t.co/IFQQpUr99X,0
2041,1898,2729,crushed,"Ontario, Canada. ",Jesus Christ that ball was fucking crushed!! #BlueJays,0
241,5782,8251,rioting,,if that would of been a black dude Antioch would be rioting,0
2061,5144,7335,nuclear%20reactor,World,Finnish ministers: Fennovoima nuclear reactor will go ahead http://t.co/vB3VFm76ke #worldnews #news #breakingnews,1
2363,3694,5256,fatality,"Brentwood, NY",I added a video to a @YouTube playlist http://t.co/O7QOgmOegU S@X 109 - SWS | Fatality (Captain Falcon) Vs. Snow (Fox) SSB4 Losers,0
600,366,524,army,Campinas Sp,"You da One 

#MTVSummerStar #VideoVeranoMTV  #MTVHottest Britney Spears Lana Del Rey",0
2435,163,237,airplane%20accident,92,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",1
2888,2113,3037,death,To The Right of You!,Ted Cruz Bashes Obama Comparison GOP To Iranians Shouting 'Death To America' http://t.co/tXETcysm1H | #tcot,1
646,4318,6132,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',1
3890,2958,4250,drowning,New York,The Drowning Girl by Caitlin R. Kiernan Centipede Press Signed numbered Limited - Full reÛ_ http://t.co/mwcNVtCXVU http://t.co/ClOLmorpLd,0
3556,2599,3729,destroyed,"North Port, FL",@ryanoss123 No worries you'd have to be on every hitters most pitchers got destroyed,0
3202,1985,2856,damage,"Texas, USA",I liked a @YouTube video http://t.co/tBX8cAKdrw GTA 5 Online - COLLATERAL DAMAGE! (GTA V Online PC),0
1528,4267,6061,heat%20wave,Malaysia/Jordan,It's kinda cool tonight. Is the heat wave finally over?? ???? 7amdollela 3la kulli 7aal,1
1267,6784,9718,tragedy,,Rly tragedy in MP: Some live to recount horror: ÛÏWhen I saw coaches of my train plunging into water I called ... http://t.co/Calk5nv5Vc,1
1899,7067,10121,upheaval,"Scotts Valley, CA",In depth: the new world of work and how young people businesses and economies are coping with huge upheaval http://t.co/0blKwCuPZq via @ft,0
4658,6640,9508,terrorist,Iraq|Afghanistan| RSA |Baghdad,Seek help warra #MetroFmTalk,0
3005,1713,2470,collided,From a torn up town MANCHESTER,Two cars collided following shotgun fire in Denton http://t.co/0r03C6njLI,1
2734,11,17,,,Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,1
189,4328,6147,hijack,,I've just posted on my Blog about: Criminals Who Hijack Lorries And Buses Arrested In Enugu (PHOTO) http://t.co/5ytIeX55lh,1
1806,5591,7978,razed,,The Latest: More homes razed by Northern California wildfire - http://t.co/5FcJVMl520 http://t.co/fvYRWhux8p,1
975,2146,3080,deaths,Edinburgh,Had lunch with Stewart &amp; Julian only a couple of hours earlier. Good to finally find out what happened to them. http://t.co/AnP9g6NjFd,0
2747,3338,4782,evacuated,"Hackney, London",@missleylaha I didn't get to buy one after the last London show because the fire alarm went off and everyone had to be evacuated. hahahaha,0
2047,3525,5039,eyewitness,"Bakersfield, California",Wake Up Kern County Eyewitness News Mornings airing RIGHT NOW on KBAK CBS29. http://t.co/rorKtMpqNs #liveonKBAK http://t.co/eDznX6GOud,1
2558,7509,10741,wreckage,,Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/cs8mYAunA4,1
1082,3425,4898,explode,they/them,"tagged by @attackonstiles 

millions
a-punk
hang em high
alpha dog
yeah boy and doll face
little white lies
explode http://t.co/lAtsSUo4wS",0
474,745,1077,bleeding,,A rave wedding ? Am I seeing this  my eyes are bleeding,0
2904,2365,3402,demolition,"ÌøåÀå_T: 40.736324,-73.990062",Shame how they took'em from being an intriguing dominant force to a jobbing C-list demolition  https://t.co/1xSSvGIMvb,0
4843,3696,5259,fatality,Honduras,Fatality ????,0
4117,4854,6913,mass%20murderer,,White people I know you worry tirelessly about black on black crime but what are you going to do about your mass murderer problem?,1
3385,2769,3980,devastation,Atlanta g.a.,http://t.co/Gxgm1T3W0J From Devastation to Elation Getting Back on My Feet Helping Those Willing To Help Themselves http://t.co/puMxLVLsgM,0
4555,7523,10759,wreckage,Southern California,Malaysian prime minister says Reunion Island wreckage is from MH370: http://t.co/bpTZAMjl2K via @slate,1
1184,2554,3662,destroy,"Jerseyville, IL",Dem FLATLINERS who destroy creativity-balance-longevity &amp; TRUTH stand with Lucifer in all his flames of destruction https://t.co/WcFpZNsN9u,1
5051,4658,6624,inundated,"San Jose, CA, USA",This is set to become a huge one month wonder. (And then Pornhub will be inundated....) http://t.co/gghfx8PzMh,1
2433,5918,8450,screamed,"San Diego, CA","OMFG??
Didnt expect Drag Me Down to be the first song Pandora played 

OMFG I SCREAMED SO LOUD
My coworker is scared http://t.co/VzcvAdkcQp",1
2391,4979,7104,military,canada,Senator 'alarmed' by reports U.S. military families harassed: A U.S. Senator said on Wednesday he was alarmed byÛ_ http://t.co/sbILA2Yqjq,1
769,658,952,blaze,,What Dems do. Blaze covered months ago.Chicago police detained thousands of black Americans at interrogation facility http://t.co/UWItVBsbnC,0
1685,1932,2778,curfew,turner fenton,ball has no curfew https://t.co/SG1FTKaEgq,0
130,1684,2429,collide,EspÌ_rito Santo,Maybe if the stars align maybe if our worlds collide,0
2919,6403,9151,suicide%20bomber,Saudi Arabia,#saudiarabia 13 confirmed dead as suicide bomber attacks Saudi Arabian mosque - The I... http://t.co/LwAnE9vupg - http://t.co/CpQguFZB28,1
3171,1265,1823,burned,germany,I should probably stay away from hot glue guns.. I burned one finger pretty bad,0
3444,4062,5772,forest%20fires,,CLIMATE CONSEQUENCES: U.S. Forest Service Says Spending More Than Half Of Budget On Fires http://t.co/k0QtL8aODH http://t.co/zQBXe7x9Y7,1
4426,1516,2190,catastrophic,,The Catastrophic Effects of Hiroshima and Nagasaki Atomic Bombings Still Being Felt Today http://t.co/QVlxpyyyCd,1
466,1334,1927,burning%20buildings,we?it Û¢ ixwin,@Louis_Tomlinson incredible? THE CHILDREN WERE SCREAMING BUILDINGS WERE BURNING AND I WAS DANCING IN THE ASHES,1
3092,1050,1519,body%20bags,,'Your body will heal the bags under your eyes will go away youÛªll be so happy youÛªll smile and really...' http://t.co/WuKcAlNQms,0
3772,4807,6843,loud%20bang,English Midlands,"St steel coffee cafetiere exploded this am with loud bang hot coffee &amp; grounds shot over table clean crockery phone
tablet. How?",1
860,3528,5043,eyewitness,,DK Eyewitness Travel Guide: Denmark: travel guide eBay auctions you should keep an eye on: http://t.co/qPUr3Vd7Hl,0
